name,market,funding_total_usd,status,state_code,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
College Snack Attack,E-Commerce,50000,closed,CA,2.0,2010-11-01,2010-11-01,2011-03-01,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Tonight,Networking,2244500,closed,CA,2.0,,2007-07-01,2008-07-01,0.0,1644500.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,1644500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collexpo,Leisure,225000,closed,VA,1.0,2008-02-01,2008-02-01,2008-02-01,225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collider Media,Advertising,6201649,acquired,TX,2.0,2009-01-01,2010-06-02,2011-10-07,0.0,2875825.0,0.0,0.0,0.0,0.0,0.0,0.0,3325824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Color Labs Inc.,Proximity Internet,41000000,closed,CA,2.0,2010-08-01,2010-08-01,2011-03-23,0.0,41000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0
ColorModules,Beauty,1300000,closed,NY,1.0,2010-01-01,2012-06-27,2012-06-27,0.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLOURlovers,Art,1000000,acquired,OR,1.0,2005-12-01,2011-05-03,2011-05-03,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colubris Networks,Web Hosting,29000000,acquired,MA,2.0,2000-01-01,2005-03-08,2006-10-23,0.0,29000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0
CombineNet,Enterprise Software,5191392,acquired,PA,3.0,2000-01-01,2009-06-06,2010-06-09,0.0,4191392.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ComCam,nan,1620840,closed,PA,3.0,,2010-07-01,2011-02-25,0.0,1006400.0,0.0,0.0,0.0,614440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
